Filename,Prediction,Confidence,Timestamp
images.jpg,Class 2,60.52,2026-06-04 02:29:36.041315
1.jpg,Class 1,75.76,2026-06-04 02:29:36.440033
2.jpg,Class 0,99.7,2026-06-04 02:29:36.771094
3.webp,Class 1,92.75,2026-06-04 02:35:46.389858
4.jpg,Class 2,51.81,2026-06-04 02:35:46.655577
images.jpg,Class 2,60.52,2026-06-04 02:54:42.253794
1.jpg,Class 1,75.76,2026-06-04 02:54:42.562672
2.jpg,Class 0,99.7,2026-06-04 02:54:42.835796
3.webp,Class 1,92.75,2026-06-04 02:54:43.134562
4.jpg,Class 2,51.81,2026-06-04 02:54:43.424352
images.jpg,Class 2,60.52,2026-06-04 02:55:03.570588
1.jpg,Class 1,75.76,2026-06-04 02:55:03.968369
2.jpg,Class 0,99.7,2026-06-04 02:55:04.321074
3.webp,Class 1,92.75,2026-06-04 02:55:04.700141
4.jpg,Class 2,51.81,2026-06-04 02:55:05.028095
1.jpg,Class 1,75.76,2026-06-04 02:58:55.580749
2.jpg,Class 0,99.7,2026-06-04 02:58:55.859043
3.webp,Class 1,92.75,2026-06-04 02:58:56.121018
webcam.jpg,Class 1,94.44,2026-06-04 03:13:46.620196
webcam.jpg,Class 1,62.5,2026-06-04 03:14:11.033252
webcam.jpg,Class 1,81.03,2026-06-04 03:14:13.091263
webcam.jpg,Class 1,81.62,2026-06-04 03:14:14.428540
webcam.jpg,Class 1,87.08,2026-06-04 03:14:15.304927
webcam.jpg,Class 1,80.66,2026-06-04 03:14:16.300414
webcam.jpg,Class 1,74.06,2026-06-04 03:14:17.023668
webcam.jpg,Class 1,84.12,2026-06-04 03:14:17.791093
webcam.jpg,Class 1,88.18,2026-06-04 03:14:18.624721
webcam.jpg,Class 1,90.82,2026-06-04 03:14:19.202854
webcam.jpg,Class 1,98.36,2026-06-04 03:14:20.045696
webcam.jpg,Class 1,97.52,2026-06-04 03:14:20.591639
webcam.jpg,Class 1,96.65,2026-06-04 03:14:21.266529
webcam.jpg,Class 1,94.64,2026-06-04 03:14:21.487518
webcam.jpg,Class 1,95.29,2026-06-04 03:14:21.789023
webcam.jpg,Class 1,92.57,2026-06-04 03:14:22.036998
webcam.jpg,Class 1,68.79,2026-06-04 03:15:31.736790
webcam.jpg,Class 1,80.43,2026-06-04 03:15:34.333174
webcam.jpg,Class 1,58.99,2026-06-04 03:15:35.887146
webcam.jpg,Class 1,82.42,2026-06-04 03:15:36.912146
webcam.jpg,Class 1,62.51,2026-06-04 03:15:38.539530
webcam.jpg,Class 1,83.86,2026-06-04 03:15:39.546708
webcam.jpg,Class 1,87.74,2026-06-04 03:15:40.447839
webcam.jpg,Class 1,50.12,2026-06-04 03:15:41.612079
webcam.jpg,Class 1,82.67,2026-06-04 03:15:42.815456
webcam.jpg,Class 1,85.4,2026-06-04 03:15:45.121916
webcam.jpg,Class 0,72.82,2026-06-04 03:17:29.867836
1.jpg,Class 1,75.76,2026-06-04 03:22:40.424143
webcam.jpg,Class 1,69.11,2026-06-04 03:22:50.349356
1.jpg,Class 1,75.76,2026-06-04 03:23:02.477902
2.jpg,Class 0,99.7,2026-06-04 03:23:02.814051
3.webp,Class 1,92.75,2026-06-04 03:23:03.338745
4.jpg,Class 2,51.81,2026-06-04 03:23:03.664388
1.jpg,Class 1,75.76,2026-06-04 03:25:45.797320
2.jpg,Class 0,99.7,2026-06-04 03:27:03.203088
3.webp,Class 1,92.75,2026-06-04 03:27:03.514539
4.jpg,Class 2,51.81,2026-06-04 03:27:03.800363
1.jpg,Class 1,75.76,2026-06-04 03:31:32.787301
2.jpg,Class 0,99.7,2026-06-04 03:31:35.619253
3.webp,Class 1,92.75,2026-06-04 03:31:38.423058
4.jpg,Class 2,51.81,2026-06-04 03:31:41.230062
1.jpg,Class 1,75.76,2026-06-04 03:33:34.295360
2.jpg,Class 0,99.7,2026-06-04 03:33:35.826594
3.webp,Class 1,92.75,2026-06-04 03:33:37.370449
1.jpg,Class 1,75.76,2026-06-04 03:33:59.868228
2.jpg,Class 0,99.7,2026-06-04 03:34:00.604036
3.webp,Class 1,92.75,2026-06-04 03:34:01.352717
1.jpg,Class 1,75.76,2026-06-04 12:19:44.734851
2.jpg,Class 0,99.7,2026-06-04 12:19:45.432527
3.webp,Class 1,92.75,2026-06-04 12:19:46.250091
4.jpg,Class 2,51.81,2026-06-04 12:19:46.906255
